	Id	ProductId	Rating	Title	ReviewText	IsRecommended	SubmissionTime	ContextDataValues.skinType.ValueLabel	ContextDataValues.eyeColor.ValueLabel	ContextDataValues.hairColor.ValueLabel	ContextDataValues.skinTone.ValueLabel	ContextDataValues.age.ValueLabel	ContextDataDistribution.skinConcerns.ValueLabel	Product_id_original
0	173658866	P443401	2	Too similar and no lasting power	I bought this because I already love Arancia di Capri and wanted to try other scents by this brand, but I will be returning it. Most of the scents are very similar (Bergamotto, Fico and Mirto in particular). Chinotto to me smells like soap, it was my least favourite of the five. The bottles don't have sprays. Also, the perfumes don't last. I still love Arancia di Capri, but it's basically the only one.	False	2021-02-15T18:09:41.000+00:00	Combination	Blue	Blonde	Fair			P443401
1	173618877	P443401	1		Why is this 82$ when the value is lower? That does not make sense	False	2021-02-14T17:22:53.000+00:00	Combination	Green	Blonde	Fair			P443401
2	167552732	P443401	4	Not long lasting enough, a bit too feminine	I had a few of these as samples and really liked them, but I’m convinced those samples may have been men’s, because they were more bracing. Note, these are not parfum, but eau de toilette, so they are nice, but for me have zero staying power. They’re a pleasantly scented collection, but all bit too soft and each too similar for my taste. If there’s a men’s set, I may try it. This is a great gift for someone who enjoys lighter scents.	True	2020-12-10T05:36:56.000+00:00	Combination	Brown	Brunette	Light			P443401
3	165457313	P443401	3	Great scents, no lasting power	Fell in love with Acqua Di Parma during a stay in Mykonos Greece- Was really looking forward to opening this set. The scents are great, but fade really quickly on me....	True	2020-11-10T21:32:24.000+00:00	Combination	Brown	Brunette	Light			P443401
4	158567125	P443401	5		I've had this set for a year now and I constantly have a new favourite. This is such a perfect set for the indecisive because each bottle is quite $$$. This set is totally worth it!	True	2020-06-23T02:52:58.000+00:00	Normal	Brown	Brunette	Porcelain			P443401
5	132084231	P443401	5		I really love this set, I can have 5 different scents. Mirto Di Panarea is my favorite.	True	2019-09-04T21:00:50.000+00:00	Combination	Brown	Black	Light			P443401
6	131354293	P443401	1		Love every scent in this set. My old time favorite is Fico BUT when I opened the box which was sealed that one bottle was half empty and nothing was spilled inside of the box...The rest of the bottles were full.	False	2019-08-11T19:49:39.000+00:00							P443401
7	127741594	P443401	5	Yes!	"I have been waiting a while to see something like this from Acqua Di Parma.
Just like the original, they all have that ever so  slight hint of a soapy base (that I usually dont like).....BUT, it's always light and clean, and subtle. I have enjoyed each one of these in this set. They work great alone or layered. The staying power is longer for some more than others.
I recommend these for the Spring/Summer time. The box and mini bottles, look beautiful, and I'd consider this as a great gift for someone."	True	2019-05-08T02:22:00.000+00:00	Combination	Brown	Brunette	Light	35-44		P443401
8	127570748	P443401	5	FINALLY!	I've been trying to find ADP samples for years, so I'm thrilled that Sephora stocks this set. The scents are all really unique, but still refreshing. I'm pretty partial to the Arnica and Bergamotto scents.	True	2019-05-02T19:13:03.000+00:00	Oily	Blue	Blonde	Light			P443401
0	166143961	P163604	4	UNISEX CLASSIC	"This is classic scent for maybe more mature noses. Its an old school scent, that is light and crisp. Very herbal and clean. This is a true unisex fragrance,men like it and women can wear it also. Its an everyday year round scent, light but with enough ""body"" to wear in the fall.  Acqua di Parma scents are classic and all of them are worth trying."	True	2020-11-23T05:51:52.000+00:00	Combination	Brown	Brunette	Fair	35-44		P163604
