pd_id,size_and_item,category,price,love_count,reviews_count
P286513,Format 0.003oz / 0.08g,"Makeup, Eye, Eyebrow",$12.00,121.3K,3.7K
P230234,,"Makeup, Eye, Eyeliner",$13.00,194K,6.4K
P281411,Format 0.169 oz/ 5 mL,"Makeup, Lip, Lipstick",$15.00,734.2K,10.2K
P443317,Format 0.169 fl oz/5mL,"Makeup, Lip, Liquid Lipstick",$5.00 $15.00,32.2K,114
P467140,Format 0.84 oz/ 25 mL,"Makeup, Face, Foundation",$20.00,35.3K,331
P379509,Format 0.84 oz/ 25 mL,"Makeup, Face, Foundation",$20.00,144.1K,3.9K
P408606,Format 0.264 oz/ 7.5 g,"Makeup, Face, Foundation",$20.00,69.1K,1.2K
P429722,Size 1 Mask,"Skincare, Masks, Face Masks",$4.00 $5.50,162.7K,1.7K
P377784,Format 0.04 oz/ 1.2 g,"Makeup, Eye, Eyeliner",$11.00,206.3K,3.1K
P409800,Format 25 Wipes,"Skincare, Cleansers, Face Wipes",$8.00,259.4K,3.7K
P430932,Format 0.035oz/1g,"Makeup, Eye, Eyeshadow",$9.00,236K,1.2K
P442594,,"Skincare, Treatments, Face Serums",$20.00,61.6K,698
P470250,,"Skincare, Value & Gift Sets",$39.00 ($221.00 value),25.5K,71
P470052,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$75.00 ($148.00 value),3.4K,5
P467041,,"Makeup, Value & Gift Sets",$30.00 ($83.00 value),21.7K,91
P470050,,"Fragrance, Value & Gift Sets, Cologne Gift Sets",$68.00 ($106.00 value),2K,5
P469881,,"Makeup, Value & Gift Sets",$44.00 ($134.00 value),5.9K,4
P467040,,"Makeup, Eye, Mascara",$28.00 ($50.00 value),13.8K,23
P470054,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$25.00 ($48.00 value),3.3K,4
P467654,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$75.00 ($128.00 value),8.8K,27
P467042,,"Makeup, Lip, Lip Sets",$30.00 ($65.00 value),10.8K,34
P470053,,"Fragrance, Value & Gift Sets, Perfume Gift Sets",$25.00 ($43.00 value),1.5K,
P471091,,"Makeup, Value & Gift Sets",$10.00 ($41.00 value),12.3K,31
P455926,,"Skincare, Treatments, Face Serums",$88.00,50.5K,685
P471097,,"Skincare, High Tech Tools, Anti-Aging",$399.00,1K,31
P467973,,"Skincare, Eye Care, Eye Creams & Treatments",$68.00,5.5K,114
P470055,,"Skincare, Value & Gift Sets",$39.00 ($52.00 value),1.3K,1
P455927,,"Skincare, Mini Size",$30.00,0,685
P455928,,"Skincare, Treatments, Face Serums",$88.00,8K,187
P455931,,"Skincare, Moisturizers, Mists & Essences",$52.00,6.4K,87
P455930,,"Skincare, Moisturizers, Moisturizers",$48.00,5.9K,122
P455929,,"Skincare, Cleansers, Face Wash & Cleansers",$38.00,6K,137
P468403,,"Skincare, Value & Gift Sets",$48.00 ($104.00 value),5.2K,4
P469030,,"Skincare, Value & Gift Sets",$49.00 ($84.00 value),1.6K,1
P458211,,"Skincare, Value & Gift Sets",$94.00 ($140.00 value),2.4K,4
P307405,,"Skincare, Sun Care, Face Sunscreen",$35.00,99.3K,2.7K
P244437,,"Tools & Brushes, Accessories, Eyelash Curlers",$22.00,88K,1.9K
P448203,,"Skincare, Eye Care, Eye Creams & Treatments",$64.00,27.6K,1.3K
P456398,,"Skincare, Sun Care, Face Sunscreen",$49.00,19.4K,2.8K
P173619,,"Skincare, Eye Care, Eye Masks",$70.00,62.7K,457
P173726,,"Skincare, Cleansers, Makeup Removers",$12.00,112.3K,2.6K
P432834,,"Skincare, Treatments, Face Serums",$110.00,26K,444
P468404,,"Skincare, Value & Gift Sets",$64.00 ($112.00 value),2.1K,2
P448201,,"Skincare, Moisturizers, Moisturizers",$70.00,11.4K,180
P403913,,"Hair, Hair Styling & Treatments, Hair Oil",$69.00,7.8K,232
P469216,,"Hair, Shampoo & Conditioner, Shampoo",$49.00,747,64
P430127,,"Hair, Hair Styling & Treatments, Hair Styling Products",$69.00,3.4K,138
P434206,,"Hair, Hair Styling & Treatments, Hair Masks",$69.00,2.6K,18
P414027,,"Hair, Hair Styling & Treatments, Scalp & Hair Treatments",$69.00,2.8K,19
